site_no,site_export_id,location_type,huc2,huc2_region_name,station_nm,dec_lat_va,dec_long_va,median_00060_Mean,n_flow_obs,median_no3no2,n_combined_days,mutual_information,n_paired_days
2358795,34,Florida,03,South Atlantic-Gulf Region,"JACKSON BLUE SPRING NR MARIANNA, FL",30.79046943,-85.1407611,124.0,923,3.63,2529,,
3159500,35,Midwest,05,Ohio Region,Hocking River at Athens OH,39.32896188,-82.0876439,512.0,13262,0.8217904926423956,1675,0.24521589714855585,1675.0
3230427,36,Midwest,05,Ohio Region,Clover Groff Ditch below Alton OH,39.94444444,-83.1761111,3.71,1118,0.3,847,0.4939712453175584,847.0
3245500,37,Midwest,05,Ohio Region,Little Miami River at Milford OH,39.17144887,-84.2979933,789.0,13246,1.9708226448731572,2040,0.19222825661252152,2040.0
3247500,38,Midwest,05,Ohio Region,East Fork Little Miami River at Perintown OH,39.13700548,-84.2379918,178.0,13254,0.9449501490015255,1675,0.36544928709107305,1675.0
3275500,39,Midwest,05,Ohio Region,"EAST FORK WHITEWATER RIVER AT RICHMOND, IN",39.806701,-84.9071494,81.0,3024,1.94,2514,0.5734263852633945,2505.0
3276000,40,Midwest,05,Ohio Region,"EAST FORK WHITEWATER RIVER AT BROOKVILLE, IN",39.43392795,-85.003264,379.5,496,1.24,380,0.5763037682452152,378.0
3290500,41,Midwest,05,Ohio Region,"KENTUCKY RIVER AT LOCK 2 AT LOCKPORT, KY",38.43894162,-84.96326372,5060.0,6611,0.73,1302,0.2723470992035284,1302.0
3336890,42,Midwest,05,Ohio Region,"SPOON RIVER NEAR ST. JOSEPH, IL",40.16419444,-88.0275,15.2,9286,3.7020074345996257,3440,0.9312421170784986,3440.0
3338780,43,Midwest,05,Ohio Region,"NORTH FORK VERMILION RIVER NEAR BISMARCK, IL",40.26566667,-87.64213889,121.5,2508,4.4,1901,,
3339000,44,Midwest,05,Ohio Region,"VERMILION RIVER NEAR DANVILLE, IL",40.1010833,-87.5976111,624.0,13218,5.6,3333,0.373855661971076,3310.0
3340900,45,Midwest,05,Ohio Region,"BIG RACCOON CREEK AT FERNDALE, IN",39.71116667,-87.0712778,84.6,497,1.59,383,0.82502323363114,381.0
3343820,46,Midwest,05,Ohio Region,"KICKAPOO CREEK AT 1320E ROAD NR CHARLESTON, IL",39.465,-88.2302778,15.5,4642,7.56,841,0.48686421795926016,841.0
3346500,47,Midwest,05,Ohio Region,"EMBARRAS RIVER AT LAWRENCEVILLE, IL",38.72380556,-87.6643611,988.0,13178,2.1,3256,0.46164307970276575,3239.0
3353200,48,Midwest,05,Ohio Region,"EAGLE CREEK AT ZIONSVILLE, IN",39.94642217,-86.260249,47.1,6628,1.62,4588,0.30749349971809714,4587.0
3353415,49,Midwest,05,Ohio Region,"SCHOOL BRANCH AT MALONEY ROAD NEAR BROWNSBURG, IN",39.88577778,-86.3554444,0.76,3900,2.17,2569,0.47594647198359086,2525.0
3353420,50,Midwest,05,Ohio Region,"SCHOOL BRANCH AT CR750N AT BROWNSBURG, IN",39.8725833,-86.3615278,1.25,3866,2.67,3596,0.4809376014446727,3550.0
3374100,51,Midwest,05,Ohio Region,"WHITE RIVER AT HAZLETON, IN",38.4897748,-87.5500132,10300.0,5603,1.43,1576,0.630475791881286,1551.0
3378500,52,Midwest,05,Ohio Region,"WABASH RIVER AT NEW HARMONY, IN",38.13089124,-87.9414145,23500.0,5609,1.88,1696,0.6018850044957613,1696.0
3381500,53,Midwest,05,Ohio Region,"LITTLE WABASH RIVER AT CARMI, IL",38.06055556,-88.1572222,1600.0,13252,0.9911844629084542,858,0.41450685868111536,858.0
3612600,54,Midwest,05,Ohio Region,"OHIO RIVER AT OLMSTED, IL",37.17921867,-89.058404,245000.0,4694,1.12,1956,0.5183170424066268,1914.0
4026390,55,Midwest,04,Great Lakes Region,"BEARTRAP CREEK AT U.S. HIGHWAY 2 NEAR ASHLAND, WI",46.60916667,-90.7602778,1.855,8596,0.06250683002814525,243,0.5474307240188296,243.0
4072150,56,Midwest,04,Great Lakes Region,"DUCK CREEK NEAR HOWARD, WI",44.53338889,-88.1296944,17.5,15936,1.8073242707258625,1250,0.44036889611851127,1250.0
