site_no,site_export_id,location_type,huc2,huc2_region_name,station_nm,dec_lat_va,dec_long_va,median_00060_Mean,n_flow_obs,median_no3no2,n_combined_days,mutual_information,n_paired_days
6604440,147,Midwest,10,Missouri Region,"Little Sioux River at 300th St near Spencer, IA",43.21277778,-95.2391667,124.0,2664,3.33,821,0.5531074680779127,821.0
6796500,148,Midwest,10,Missouri Region,"Platte River near Leshara, Nebr.",41.32,-96.4038889,4680.0,6599,0.501,1852,0.25513099259609895,1852.0
6800500,149,Midwest,10,Missouri Region,"Elkhorn River at Waterloo, Nebr.",41.2933333,-96.2838889,1540.0,6608,3.32,1863,0.709988943801231,1863.0
6801000,150,Midwest,10,Missouri Region,"Platte River near Ashland, Nebr.",41.06225556,-96.32451389,6400.0,6591,2.2,1067,0.47336781480350165,1067.0
6805500,151,Midwest,10,Missouri Region,"Platte River at Louisville, Nebr.",41.01497778,-96.1575,7250.0,6621,1.33,2502,0.4362841386992429,2502.0
6808500,152,Midwest,10,Missouri Region,"West Nishnabotna River at Randolph, IA",40.87327778,-95.5814444,672.0,13264,6.0,2475,1.0658452906864504,2475.0
6817000,153,Midwest,10,Missouri Region,"Nodaway River at Clarinda, IA",40.7432222,-95.0145278,236.0,13256,2.9371175141033756,3126,0.7032400876439917,3126.0
6818000,154,Midwest,10,Missouri Region,"Missouri River at St. Joseph, MO",39.75325,-94.8568333,43600.0,6632,1.3,1411,0.5945135176323042,1411.0
6819550,155,Midwest,10,Missouri Region,"Mozingo Creek near Pickering, MO",40.4311111,-94.7722222,0.54,1398,1.5150000000000001,974,0.5398154850432997,883.0
6887000,156,Midwest,10,Missouri Region,"BIG BLUE R NR MANHATTAN, KS",39.2372186,-96.5713918,618.0,6617,0.9,141,0.5178647978331465,136.0
6887500,157,Midwest,10,Missouri Region,"KANSAS R AT WAMEGO, KS",39.19833014,-96.3055532,2160.0,6600,0.51,159,0.6667758459830804,156.0
6889110,158,Midwest,10,Missouri Region,"SOLDIER CREEK NR CORNING, KS",39.6095472,-95.9760556,0.67,1678,2.6,1032,0.3526514157130758,1024.0
6894650,159,Midwest,10,Missouri Region,"Missouri River at Napoleon, MO",39.1336111,-94.0638889,50200.0,3977,1.4,851,0.5650591999933843,842.0
6899900,160,Midwest,10,Missouri Region,"Medicine Creek at Lucerne, MO",40.45444444,-93.2863889,8.035,5582,0.4,930,0.3976626634494784,930.0
6900050,161,Midwest,10,Missouri Region,"Medicine Creek near Laredo, MO",40.0266111,-93.4362222,58.8,6611,0.4,841,0.3821886399017931,841.0
6901500,162,Midwest,10,Missouri Region,"Locust Creek near Linneus, MO",39.89594444,-93.2365278,82.6,6629,0.6,699,0.3950820278252536,699.0
6934500,163,Midwest,10,Missouri Region,"Missouri River at Hermann, MO",38.70980556,-91.4385,74500.0,6628,1.8,3227,0.3233245167572507,3227.0
7055814,164,Midwest,11,Arkansas-White-Red Region,"Big Creek at Carver, AR",35.97896536,-93.0435069,35.3,201,0.09775,754,0.5302860896909536,71.0
7056515,165,Midwest,11,Arkansas-White-Red Region,"Bear Creek near Silver Hill, AR",35.94,-92.7133333,39.4,6631,0.886,1035,0.6337490860138413,1035.0
7288800,166,Other,08,Lower Mississippi Region,"YAZOO RIVER AT REDWOOD, MS",32.4873633,-90.8173251,10400.0,5524,0.8,156,0.5457682994284778,156.0
7374000,167,Other,08,Lower Mississippi Region,"Mississippi River at Baton Rouge, LA",30.44566667,-91.1915556,525000.0,6573,1.22,4816,0.4336889639093586,4763.0
8155500,168,Other,12,Texas-Gulf Region,"Barton Spgs at Austin, TX",30.26354169,-97.7713947,49.3,6632,1.5,1266,0.6786566096476951,1266.0
8170990,169,Other,12,Texas-Gulf Region,"Jacobs Well Spg nr Wimberley, TX",30.03444444,-98.1261111,2.415,6632,0.8,563,0.195365749160735,563.0
